Currency,Date,Price ($)
AUD,2018-10-01,6589.53392
AUD,2018-11-01,6371.806241
AUD,2018-12-01,4078.922402
AUD,2019-01-01,3751.897568
AUD,2019-02-01,3452.023451
AUD,2019-03-01,3817.051996
AUD,2019-04-01,4094.158408
AUD,2019-05-01,5296.129258
AUD,2019-06-01,8571.95835
AUD,2019-07-01,10528.2445
AUD,2019-08-01,10146.74015
AUD,2019-09-01,9705.917
AUD,2019-10-01,8371.506372
AUD,2019-11-01,9199.706127
AUD,2019-12-01,7484.206086
AUD,2020-01-01,7292.065712
AUD,2020-02-01,9361.343599
AUD,2020-03-01,8620.291186
AUD,2020-04-01,6462.466052
AUD,2020-05-01,8804.619943
AUD,2020-06-01,9912.272792
AUD,2020-07-01,9215.417068
AUD,2020-08-01,11591.02523
AUD,2020-09-01,11863.24049
AUD,2020-10-01,10710.76084
AUD,2020-11-01,13763.93114
AUD,2020-12-01,19121.3897
AUD,2021-01-01,29134.74817
AUD,2021-02-01,33628.03184
AUD,2021-03-01,47760.21829
AUD,2021-04-01,58902.59232
AUD,2021-05-01,57873.71433
AUD,2021-06-01,36854.49309
AUD,2021-07-01,33825.92084
AUD,2021-08-01,41038.23407
AUD,2021-09-01,47947.97605
AUD,2021-10-01,45641.20544
AUD,2021-11-01,61159.01804
AUD,2021-12-01,57521.37821
AUD,2022-01-01,47088.48537
AUD,2022-02-01,38894.23152
AUD,2022-03-01,43760.51685
AUD,2022-04-01,45564.27895
AUD,2022-05-01,38056.25082
AUD,2022-06-01,30588.45599
AUD,2022-07-01,19828.46867
AUD,2022-08-01,23225.16941
AUD,2022-09-01,19879.23001
AUD,2022-10-01,19240.64118
AUD,2022-11-01,20379.08145
AUD,2022-12-01,17093.22843
BRL,2014-01-01,788.09913
BRL,2014-02-01,771.8397372
BRL,2014-03-01,595.928445
BRL,2014-04-01,555.19314
BRL,2014-05-01,489.8372114
BRL,2014-06-01,689.7299524
BRL,2014-07-01,682.7166
BRL,2014-08-01,660.83485
BRL,2014-09-01,529.49832
BRL,2014-10-01,408.45339
BRL,2014-11-01,364.21172
BRL,2014-12-01,400.97101
BRL,2015-01-01,337.0901471
BRL,2015-02-01,276.0359861
BRL,2015-03-01,310.7102394
BRL,2015-04-01,262.15557
BRL,2015-05-01,245.774925
BRL,2015-06-01,236.1491834
BRL,2015-07-01,264.7085298
BRL,2015-08-01,371.2503306
BRL,2015-09-01,238.471765
BRL,2015-10-01,247.6449675
BRL,2015-11-01,420.6002452
BRL,2015-12-01,379.80343
BRL,2016-01-01,452.4103424
BRL,2016-02-01,420.4620294
BRL,2016-03-01,465.4204965
BRL,2016-04-01,483.3372
BRL,2016-05-01,491.6074081
BRL,2016-06-01,566.70406
BRL,2016-07-01,694.6961868
BRL,2016-08-01,595.9874135
BRL,2016-09-01,581.9980188
BRL,2016-10-01,613.11647
BRL,2016-11-01,762.7113
BRL,2016-12-01,725.61789
BRL,2017-01-01,1080.910498
BRL,2017-02-01,941.753354
BRL,2017-03-01,1226.55025
BRL,2017-04-01,1085.814016
BRL,2017-05-01,1441.902504
BRL,2017-06-01,2885.73375
BRL,2017-07-01,2685.97592
BRL,2017-08-01,2814.423223
BRL,2017-09-01,5816.72718
BRL,2017-10-01,4516.06809
BRL,2017-11-01,7003.35155
BRL,2017-12-01,11967.44534
BRL,2018-01-01,14586.88015
BRL,2018-02-01,9358.133
BRL,2018-03-01,10913.72362
BRL,2018-04-01,7170.33563
BRL,2018-05-01,9249.452246
BRL,2018-06-01,7531.986084
BRL,2018-07-01,6345.143565
BRL,2018-08-01,7756.059616
BRL,2018-09-01,7164.337625
BRL,2018-10-01,6690.973187
BRL,2018-11-01,6246.702
BRL,2018-12-01,4143.296475
BRL,2019-01-01,3861.16845
BRL,2019-02-01,3460.420535
BRL,2019-03-01,3889.10475
BRL,2019-04-01,4246.93806
BRL,2019-05-01,5412.696854
BRL,2019-06-01,8782.410171
BRL,2019-07-01,10721.94005
BRL,2019-08-01,10129.56
BRL,2019-09-01,9766.89342
BRL,2019-10-01,8598.46974
BRL,2019-11-01,9272.381432
BRL,2019-12-01,7559.343152
BRL,2020-01-01,7274.186853
BRL,2020-02-01,9329.248346
BRL,2020-03-01,8613.123999
BRL,2020-04-01,6255.714195
BRL,2020-05-01,8671.932636
BRL,2020-06-01,9851.570116
BRL,2020-07-01,9418.427823
BRL,2020-08-01,11578.9387
BRL,2020-09-01,11979.89016
BRL,2020-10-01,10748.44883
BRL,2020-11-01,13854.27063
BRL,2020-12-01,19429.68717
BRL,2021-01-01,29386.14417
BRL,2021-02-01,33806.11867
BRL,2021-03-01,47702.70283
BRL,2021-04-01,58681.83077
BRL,2021-05-01,58269.2076
BRL,2021-06-01,37265.55201
BRL,2021-07-01,33867.79802
BRL,2021-08-01,41002.59261
BRL,2021-09-01,47927.16301
BRL,2021-10-01,46109.64625
BRL,2021-11-01,61188.80502
BRL,2021-12-01,57519.74733
BRL,2022-01-01,47617.2273
BRL,2022-02-01,39097.93235
BRL,2022-03-01,43798.13294
BRL,2022-04-01,46495.99267
BRL,2022-05-01,38365.21807
BRL,2022-06-01,30517.39195
BRL,2022-07-01,19650.94414
BRL,2022-08-01,23255.38541
BRL,2022-09-01,19824.33716
BRL,2022-10-01,19241.08667
BRL,2022-11-01,20692.74064
BRL,2022-12-01,17228.40828
CAD,2014-01-01,889.8900381
CAD,2014-02-01,853.9218864
CAD,2014-03-01,578.3382203
CAD,2014-04-01,713.4651108
CAD,2014-05-01,469.7775327
CAD,2014-06-01,656.810559
CAD,2014-07-01,662.2087072
CAD,2014-08-01,709.4987675
CAD,2014-09-01,577.5400855
CAD,2014-10-01,504.0067064
CAD,2014-11-01,401.9434854
CAD,2014-12-01,531.7152974
CAD,2015-01-01,329.9761052
CAD,2015-02-01,229.6363695
CAD,2015-03-01,244.8700029
CAD,2015-04-01,262.6136414
CAD,2015-05-01,279.1320729
CAD,2015-06-01,257.079633
CAD,2015-07-01,259.2034161
CAD,2015-08-01,301.039116
CAD,2015-09-01,228.3454675
CAD,2015-10-01,238.89347
CAD,2015-11-01,333.2241175
CAD,2015-12-01,368.583024
CAD,2016-01-01,433.128616
CAD,2016-02-01,372.884577
CAD,2016-03-01,435.5729183
CAD,2016-04-01,416.873718
CAD,2016-05-01,455.2061427
CAD,2016-06-01,532.5414387
CAD,2016-07-01,678.4540661
CAD,2016-08-01,847.3618707
CAD,2016-09-01,567.0251438
CAD,2016-10-01,609.48469
CAD,2016-11-01,713.188932
CAD,2016-12-01,750.360875
CAD,2017-01-01,993.2428501
CAD,2017-02-01,983.90223
CAD,2017-03-01,1208.61518
CAD,2017-04-01,1093.576737
CAD,2017-05-01,1397.6378
CAD,2017-06-01,2520.088607
CAD,2017-07-01,2570.221475
CAD,2017-08-01,2898.965396
CAD,2017-09-01,4907.21196
CAD,2017-10-01,4381.264675
CAD,2017-11-01,6698.238964
CAD,2017-12-01,10464.87867
CAD,2018-01-01,14179.81952
CAD,2018-02-01,9192.756101
CAD,2018-03-01,10345.29814
CAD,2018-04-01,6955.440408
CAD,2018-05-01,9241.896537
CAD,2018-06-01,7727.852465
CAD,2018-07-01,6313.106988
CAD,2018-08-01,7850.31138
CAD,2018-09-01,7417.601894
CAD,2018-10-01,6905.176937
CAD,2018-11-01,6584.014259
CAD,2018-12-01,4309.526852
CAD,2019-01-01,4027.240851
CAD,2019-02-01,3369.182971
CAD,2019-03-01,3815.456351
CAD,2019-04-01,4024.824
CAD,2019-05-01,5180.532084
CAD,2019-06-01,8013.523562
CAD,2019-07-01,9829.6065
CAD,2019-08-01,10160.34357
CAD,2019-09-01,9694.57203
CAD,2019-10-01,8378.059261
CAD,2019-11-01,9209.087323
CAD,2019-12-01,7443.276141
CAD,2020-01-01,7207.55424
CAD,2020-02-01,9234.708765
CAD,2020-03-01,8561.172713
CAD,2020-04-01,6465.16329
CAD,2020-05-01,8730.58277
CAD,2020-06-01,9969.371645
CAD,2020-07-01,9219.638922
CAD,2020-08-01,11700.25741
CAD,2020-09-01,11896.40373
CAD,2020-10-01,10709.93964
CAD,2020-11-01,13732.1417
CAD,2020-12-01,19067.77535
CAD,2021-01-01,28740.86084
CAD,2021-02-01,33395.42192
CAD,2021-03-01,47637.7598
CAD,2021-04-01,58823.42933
CAD,2021-05-01,57809.29844
CAD,2021-06-01,36721.77451
CAD,2021-07-01,33830.95949
CAD,2021-08-01,41044.01014
CAD,2021-09-01,47783.9196
CAD,2021-10-01,45627.11433
CAD,2021-11-01,61024.94477
CAD,2021-12-01,57590.26691
CAD,2022-01-01,47172.29395
CAD,2022-02-01,38617.34414
CAD,2022-03-01,43727.83134
CAD,2022-04-01,45398.56473
CAD,2022-05-01,37945.76524
CAD,2022-06-01,30613.36201
CAD,2022-07-01,19860.16047
CAD,2022-08-01,23202.09879
CAD,2022-09-01,19889.62625
CAD,2022-10-01,19293.60212
CAD,2022-11-01,20424.04938
CAD,2022-12-01,17059.75588
COP,2014-01-01,620.5933164
COP,2014-02-01,828.4226748
COP,2014-03-01,584.7367416
COP,2014-04-01,494.0791075
COP,2014-05-01,472.551794
COP,2014-06-01,563.904294
COP,2014-07-01,648.844378
COP,2014-08-01,588.6892076
COP,2014-09-01,467.167469
COP,2014-10-01,398.202643
COP,2014-11-01,341.0595576
COP,2014-12-01,367.6423146
COP,2015-01-01,321.393791
COP,2015-02-01,221.1659884
COP,2015-03-01,239.8047347
COP,2015-04-01,238.5875486
COP,2015-05-01,232.7959193
COP,2015-06-01,218.0738547
COP,2015-07-01,243.0296715
COP,2015-08-01,325.8473341
COP,2015-09-01,218.4002208
COP,2015-10-01,212.4050912
COP,2015-11-01,337.4290484
COP,2015-12-01,338.0282331
COP,2016-01-01,387.1473967
COP,2016-02-01,367.00677
COP,2016-03-01,411.7767885
COP,2016-04-01,408.0220931
COP,2016-05-01,411.0605542
COP,2016-06-01,479.75392
COP,2016-07-01,670.1381181
COP,2016-08-01,593.9792336
COP,2016-09-01,551.2650825
COP,2016-10-01,553.812451
COP,2016-11-01,710.7778343
COP,2016-12-01,717.0265072
COP,2017-01-01,989.4457782
COP,2017-02-01,928.6761717
COP,2017-03-01,1224.580887
COP,2017-04-01,1036.878892
COP,2017-05-01,1300.077766
COP,2017-06-01,2632.731923
COP,2017-07-01,1721.501746
COP,2017-08-01,2483.5119
COP,2017-09-01,4370.969161
COP,2017-10-01,3907.202165
COP,2017-11-01,5790.40125
COP,2017-12-01,10145.87052
COP,2018-01-01,15421.76922
COP,2018-02-01,9603.26868
COP,2018-03-01,10115.69317
COP,2018-04-01,6870.498576
COP,2018-05-01,8109.701994
COP,2018-06-01,6900.326755
COP,2018-07-01,5816.771053
