country,year,bitcoin_premium_(%),bitcoin_return_(%)
Australia,2014,16.78318725,0.005637868196
Australia,2014,15.0633273,-18.55508266
Australia,2014,31.23490371,-0.03698482539
Australia,2014,-3.845393826,-26.53352029
Australia,2014,26.683686,25.34953943
Australia,2015,28.37589736,-26.8357139
Australia,2015,-0.6335802938,-30.8984676
Australia,2015,2.732964729,16.22693399
Australia,2015,6.726642382,-7.357510115
Australia,2015,1.953817172,-4.92681019
Australia,2015,-0.7148033831,-0.03678732914
Australia,2015,-9.276596021,6.999970961
Australia,2015,26.27904921,26.66577774
Australia,2015,-6.812207454,-31.12058678
Australia,2015,-19.47792887,5.17938749
Australia,2015,-7.69843156,55.09052017
Australia,2015,-10.20417695,0.4264525715
Australia,2016,4.654959734,15.4829266
Australia,2016,-9.091169829,-12.7977549
Australia,2016,4.6754343,16.92209092
Australia,2016,11.97702643,14.80406507
Australia,2016,-5.024519294,-5.988735903
Australia,2016,-21.84230977,13.34934088
Australia,2016,3.358203687,27.35048461
Australia,2016,6.510596453,-9.137330385
Australia,2016,-3.862747635,-6.70762278
Australia,2016,-7.823967979,6.785018828
Australia,2016,-0.3696997491,15.86921605
Australia,2016,-13.72317826,6.166155973
Australia,2017,-0.08530490047,28.20704109
Australia,2017,-9.395726589,0.898466701
Australia,2017,9.743635673,23.29098322
Australia,2017,-11.26815445,-10.528127
Australia,2017,-49.02159299,27.44976715
Australia,2017,-5.639006932,78.83297952
Australia,2017,7.082350573,3.795953406
Australia,2017,-26.84786252,13.96927685
Australia,2017,19.08762321,67.7183029
Australia,2017,-22.70512719,-11.47777939
Australia,2017,-28.97783404,52.4085951
Australia,2017,-40.07112168,60.97791981
Australia,2018,7.485431911,37.83680757
Australia,2018,4.299206313,-35.80140757
Australia,2018,14.10644044,13.77702313
Australia,2018,-20.06434829,-36.69218092
Australia,2018,6.577439084,34.70155011
Australia,2018,11.0556854,-16.35911578
Australia,2018,-15.39252959,-17.3617548
Australia,2018,11.13191221,22.52917136
Australia,2018,6.554585644,-5.965271332
Australia,2018,-0.1704381544,-9.353158584
Australia,2018,20.45254032,-3.304143841
Australia,2018,8.055607162,-35.98483306
Australia,2019,-0.08056797982,-8.01743211
Australia,2019,-10.10448822,-7.992598724
Australia,2019,-5.193174215,10.57433561
Australia,2019,-18.9370913,7.259697086
Australia,2019,-35.5325746,29.35819111
Australia,2019,-24.59800207,61.85326929
Australia,2019,-5.870753549,22.82192787
Australia,2019,-6.908481038,-3.623627392
Australia,2019,3.514933514,-4.344480523
Australia,2019,-4.334463588,-13.74842407
Australia,2019,12.37644711,9.893079193
Australia,2019,4.575843866,-18.64733522
Australia,2020,-12.91808584,-2.567277972
Australia,2020,-1.217091074,28.3771152
Australia,2020,23.00331705,-7.91609031
Australia,2020,-21.02983643,-25.03192858
Australia,2020,-4.326288057,36.24241693
Australia,2020,3.276013337,12.58035959
Australia,2020,-10.64545088,-7.030231498
Australia,2020,42.82510331,25.77862887
Australia,2020,7.437702544,2.348500236
Australia,2020,-14.11375838,-9.714711983
Australia,2020,-19.8510194,28.50563412
Australia,2020,-22.54446411,38.92389832
Australia,2021,-21.28042812,52.36731548
Australia,2021,-34.87973468,15.42242152
Australia,2021,-11.80744241,42.02501806
Australia,2021,4.908612388,23.32982223
Australia,2021,22.07096746,-1.746744836
Australia,2021,4.775667293,-36.31911565
Australia,2021,-5.830827022,-8.217647278
Australia,2021,-7.144084541,21.32185332
Australia,2021,3.393864319,16.83732778
Australia,2021,-20.77946802,-4.81098641
Australia,2021,-0.03380843741,33.99956784
Australia,2021,11.41006589,-5.947838854
Australia,2022,13.92219864,-18.13741806
Australia,2022,-2.997781078,-17.40182081
Australia,2022,2.483968885,12.51158627
Australia,2022,6.71264685,4.121893954
Australia,2022,12.95327448,-16.47788202
Australia,2022,18.8159284,-19.62304396
Australia,2022,-9.790450242,-35.17662783
Australia,2022,3.689883515,17.13042394
Australia,2022,-3.032499088,-14.40652313
Australia,2022,-2.148927191,-3.212341868
Australia,2022,9.107941466,5.916852016
Australia,2022,-1.550935764,-16.12365616
Australia,2023,-21.821929,-2.894541125
Australia,2023,0.5995500632,41.20361876
Australia,2023,-3.495464488,0.5656187954
Australia,2023,-2.00743602,20.77448449
Australia,2023,2.30574962,0.1397817446
Australia,2023,-9.031328639,-9.612715237
Australia,2023,0.2903705091,18.22747049
Australia,2023,4.416790748,-4.54857206
Australia,2023,-1.531495275,-11.2219989
Australia,2023,-11.90888427,6.805534122
Brazil,2013,-93.41619829,10.07244757
Brazil,2013,10.00703544,68.34104402
Brazil,2013,26.59142463,22.19443458
Brazil,2013,13.45029213,-31.27394278
Brazil,2013,-18.94347478,-0.398155368
Brazil,2013,17.84243139,58.44435743
Brazil,2013,-6.936639634,-7.307923722
Brazil,2013,-221.8986511,41.10360382
Brazil,2013,32.8001947,456.2222031
Brazil,2014,-12.42811331,-32.81859671
Brazil,2014,17.47444697,-2.063115182
Brazil,2014,3.824446291,-22.79116813
Brazil,2014,19.51899893,-6.835603392
Brazil,2014,-6.970847626,-11.77174643
Brazil,2014,11.27455009,40.80799425
Brazil,2014,10.4775717,-1.016825843
Brazil,2014,21.16282601,-3.205100037
Brazil,2014,18.20861686,-19.87433471
Brazil,2014,14.18923123,-22.86030483
Brazil,2014,-6.767431068,-10.83151006
Brazil,2014,14.17459469,10.09283557
Brazil,2015,27.03064798,-15.93154152
Brazil,2015,13.48483244,-18.11211673
Brazil,2015,13.65604707,12.56149742
Brazil,2015,9.086044391,-15.62699366
Brazil,2015,3.086737001,-6.248444387
Brazil,2015,-3.570760356,-3.916486436
Brazil,2015,-7.268741541,12.09377309
Brazil,2015,34.6422134,40.24872222
Brazil,2015,-1.542212184,-35.76523835
Brazil,2015,-15.04069907,3.846661889
Brazil,2015,5.306876297,69.84001309
Brazil,2015,-7.762059069,-9.699665105
Brazil,2016,9.612146839,19.11697122
Brazil,2016,2.963533724,-7.061799876
Brazil,2016,10.43711814,10.69263427
Brazil,2016,8.573560033,3.849573383
Brazil,2016,-0.8273078429,1.711063855
Brazil,2016,-15.01823161,15.27573642
Brazil,2016,5.224612789,22.58535554
Brazil,2016,2.896187343,-14.2089125
Brazil,2016,-3.061258676,-2.347263446
Brazil,2016,-8.452557264,5.346831122
Brazil,2016,5.967500064,24.39908848
Brazil,2016,-18.89473902,-4.863361799
Brazil,2017,9.943702079,48.96414671
Brazil,2017,-13.99380658,-12.87406723
Brazil,2017,10.96887097,30.24113424
Brazil,2017,-10.93059978,-11.47415154
Brazil,2017,-42.58973815,32.79461154
Brazil,2017,9.678606471,100.1337637
Brazil,2017,11.40706278,-6.922254337
Brazil,2017,-31.54808829,4.78214647
Brazil,2017,31.9062085,106.675639
Brazil,2017,-17.74047433,-22.36066863
Brazil,2017,-21.6304082,55.07630555
Brazil,2017,-24.43612457,70.88168798
Brazil,2018,7.057951584,21.88800312
Brazil,2018,3.790853552,-35.84554818
Brazil,2018,15.75730506,16.62287357
Brazil,2018,-13.4688198,-34.29982395
Brazil,2018,7.804377371,28.99608503
Brazil,2018,9.842502751,-18.5683013
Brazil,2018,-14.73884952,-15.75736473
Brazil,2018,11.42351477,22.23615647
Brazil,2018,5.183488613,-7.629157336
Brazil,2018,1.348207277,-6.607232411
Brazil,2018,18.85942374,-6.63985903
Brazil,2018,9.484139996,-33.67225658
Brazil,2019,2.751707306,-6.809264717
Brazil,2019,-9.83730778,-10.37892856
Brazil,2019,-3.244278918,12.38821151
Brazil,2019,-14.65843992,9.200917255
Brazil,2019,-32.61375117,27.44939477
Brazil,2019,-21.61227538,62.25571851
Brazil,2019,-3.958161856,22.08425522
Brazil,2019,-7.089802212,-5.524933411
Brazil,2019,4.117306619,-3.580279696
Brazil,2019,-1.580473399,-11.96310464
Brazil,2019,13.06322521,7.837577065
Brazil,2019,5.524324567,-18.47463128
Brazil,2020,-13.19562154,-3.772236466
Brazil,2020,-1.565306494,28.25142569
Brazil,2020,22.93924627,-7.676120527
Brazil,2020,-25.02988226,-27.36997406
Brazil,2020,-5.922561318,38.62418208
Brazil,2020,2.680026629,13.60293638
Brazil,2020,-8.2605288,-4.396682844
Brazil,2020,42.76542201,22.93918817
Brazil,2020,8.338993046,3.462765134
Brazil,2020,-13.71363384,-10.27923718
Brazil,2020,-19.06950734,28.89553499
Brazil,2020,-20.60000935,40.24330613
Brazil,2021,-20.24288421,51.24352709
Brazil,2021,-34.1692034,15.04101551
Brazil,2021,-11.94224938,41.10671294
Brazil,2021,4.55087777,23.01573555
Brazil,2021,22.59989878,-0.703153183
Brazil,2021,5.826042488,-36.04589192
Brazil,2021,-5.699968314,-9.117680563
Brazil,2021,-7.237219421,21.0666031
Brazil,2021,3.351911761,16.8881282
Brazil,2021,-19.55243558,-3.792247757
Brazil,2021,0.01488845614,32.70282902
Brazil,2021,11.40755407,-5.99628917
Brazil,2022,14.87800699,-17.21586148
Brazil,2022,-2.461161065,-17.89120333
Brazil,2022,2.567720665,12.0216091
Brazil,2022,8.581993033,6.159759663
Brazil,2022,13.65428932,-17.4870438
Brazil,2022,18.62687985,-20.45557542
Brazil,2022,-10.78228544,-35.6073934
Brazil,2022,3.815020377,18.34233125
Brazil,2022,-3.317792245,-14.75377935
Brazil,2022,-2.146562138,-2.942093262
Brazil,2022,10.48567728,7.54455295
Brazil,2022,-0.7541331451,-16.74177636
Brazil,2023,-21.33692482,-3.271361661
Brazil,2023,0.9642537808,41.15936979
Brazil,2023,-2.809726508,0.8649488003
Brazil,2023,-0.8538494854,21.34654917
Brazil,2023,3.321894755,0.04794277274
Brazil,2023,-2.997975505,-5.313278017
Brazil,2023,1.116714451,12.61856684
Brazil,2023,4.855829212,-4.902820135
Brazil,2023,-1.359448504,-11.47978033
