Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
Canada,2018,-4.0821,5.5373,1.7500,1.4000,0.3500,1.0000,33.0000,15.0000,31.9000,39.9000,87.5000,77.7000,81.8000,71.3000,77.5000,88.1000,80.0000,80.0000,-12.1833,8.4079,"162,769.7000","66,562,087,763.0000",0.0002
Canada,2019,6.4875,-9.0504,1.7500,1.6000,0.1500,1.6000,33.0000,15.0000,31.7000,40.3000,87.0000,77.7000,81.9000,73.7000,77.2000,86.8000,80.0000,80.0000,18.9319,-4.1213,"34,311.3100","199,888,313,632.0000",0.0000
Canada,2020,10.0478,-2.7847,0.2500,0.9000,-0.6500,1.5000,33.0000,15.0000,32.2000,40.5000,87.7000,78.2000,81.7000,72.0000,76.0000,87.0000,80.0000,80.0000,1.9497,-2.3728,"48,853.9800","5,364,487,230,960.0000",0.0000
Canada,2021,12.3605,-4.9247,0.2500,1.9000,-1.6500,3.1000,33.0000,15.0000,33.0000,40.9000,84.5000,77.9000,81.4000,72.4000,76.1000,88.8000,80.0000,80.0000,21.0808,-0.0494,"1,148,412.8990","17,321,689,358,183.0000",0.0000
Canada,2022,-8.4246,3.9495,4.2500,0.7000,3.5500,3.4000,33.0000,15.0000,33.5000,44.9000,89.5000,76.6000,78.8000,68.7000,78.2000,83.2000,80.0000,80.0000,-8.7189,6.3369,"47,333.8300","10,964,475,110,592.0000",0.0000
Colombia,2014,-5.9048,0.1199,4.5000,3.2000,1.3000,5.6000,33.0000,25.0000,15.1000,28.9000,50.0000,70.7000,85.2000,80.5000,78.8000,78.8000,75.0000,70.0000,2.2689,15.1922,678.0318,"287,702,640.0000",0.0002
Colombia,2015,2.0203,-7.1808,5.7500,2.0000,3.7500,4.4000,33.0000,25.0000,16.1000,28.3000,50.0000,71.7000,81.5000,81.7000,80.1000,81.2000,80.0000,70.0000,2.0468,16.9626,"1,774.8959","383,432,300.0000",0.0005
Colombia,2016,7.4069,-10.7127,7.5000,2.9000,4.6000,4.5000,33.0000,25.0000,16.5000,29.2000,50.0000,70.8000,78.2000,77.6000,79.6000,81.0000,80.0000,70.0000,8.3802,-7.5549,"3,316.2514","1,028,608,400.0000",0.0003
Colombia,2017,31.2279,-23.6967,4.7500,5.0000,-0.2500,4.2000,33.0000,25.0000,16.7000,29.6000,63.8000,69.7000,77.1000,77.9000,77.0000,81.6000,80.0000,70.0000,8.0081,-6.1483,"8,504.1760","30,386,367,280.0000",0.0000
Colombia,2018,-4.7675,-0.9173,4.2500,7.5000,-3.2500,4.2000,33.0000,25.0000,16.1000,29.2000,60.7000,68.9000,78.6000,75.2000,73.9000,81.6000,80.0000,70.0000,-16.7760,12.8743,"12,048.9226","66,562,087,763.0000",0.0000
Colombia,2019,7.9037,-13.9614,4.2500,4.3000,-0.0500,7.0000,33.0000,33.0000,19.9000,28.9000,59.2000,67.3000,71.4000,78.5000,75.6000,76.0000,80.0000,70.0000,3.0041,5.5804,"6,648.5599","199,888,313,632.0000",0.0000
Colombia,2020,9.6276,-5.5997,1.7500,3.2000,-1.4500,4.4000,39.0000,33.0000,18.8000,27.7000,61.1000,69.2000,71.3000,78.0000,77.5000,81.2000,80.0000,70.0000,-0.8334,-2.8954,"16,043.1931","5,364,487,230,960.0000",0.0000
Colombia,2021,12.9134,-6.6502,3.0000,3.5000,-0.5000,6.5000,39.0000,32.0000,22.0000,32.0000,59.8000,68.1000,71.0000,77.7000,78.1000,77.0000,80.0000,70.0000,19.1697,19.7609,"3,509.2770","17,321,689,358,183.0000",0.0000
Colombia,2022,-7.9183,3.3908,12.0000,2.5000,9.5000,6.8000,39.0000,31.0000,19.7000,33.7000,50.9000,65.1000,68.8000,60.7000,79.3000,76.4000,80.0000,70.0000,-8.4569,0.5285,"2,613.9560","10,964,475,110,592.0000",0.0000
Czech Republic,2014,-5.9053,5.0985,0.0500,3.3000,-3.2500,1.1000,15.0000,19.0000,35.3000,43.3000,70.0000,72.2000,70.1000,84.0000,79.4000,87.8000,80.0000,80.0000,-99.9748,14.6599,681.4242,"287,702,640.0000",0.0002
