Country,Year,Stock_Market_Returns,Currency_Returns
South Africa,2021,21.87515743,8.522466285
South Africa,2022,-0.914280337,6.491876894
South Korea,2014,-2.623029658,3.839590266
South Korea,2015,1.81008068,7.316706748
South Korea,2016,5.612997489,2.539483014
South Korea,2017,21.78159418,-11.26700167
South Korea,2018,-17.68837862,4.376858037
South Korea,2019,9.336812034,3.587738512
South Korea,2020,32.10324131,-6.047471191
South Korea,2021,1.127543403,9.523937935
South Korea,2022,-25.18499988,5.913991567
Switzerland,2014,8.619957773,10.73720895
Switzerland,2015,-1.350954216,-0.05462784359
Switzerland,2016,-5.041865123,2.945344289
Switzerland,2017,12.81466334,-3.77543951
Switzerland,2018,-11.07320376,0.5006680629
Switzerland,2019,25.4066641,-1.521960578
Switzerland,2020,0.03448144938,-8.986921659
Switzerland,2021,20.39977543,3.643457153
Switzerland,2022,-17.07813982,1.001425893
Thailand,2014,21.68561309,0.4924278929
Thailand,2015,-13.16231117,9.556852587
Thailand,2016,22.1250346,-0.3278143011
Thailand,2017,12.15991572,-8.952556256
Thailand,2018,-12.068957,-0.4347091904
Thailand,2019,0.8876473514,-7.852659832
Thailand,2020,-9.178351921,-0.1701657955
Thailand,2021,12.89843664,11.38407054
Thailand,2022,-0.09698943224,3.765944604
Turkey,2014,2.929206985,8.152169147
Turkey,2015,21.87515743,25.71800765
Turkey,2016,-0.914280337,20.46204424
Turkey,2017,-2.623029658,7.370364305
Turkey,2018,1.81008068,39.64722211
Turkey,2019,5.612997489,12.7588935
Turkey,2020,21.78159418,23.98617119
Turkey,2021,-17.68837862,80.24119893
Turkey,2022,9.336812034,40.7245026
United Kingdom,2014,-2.259631833,-6.006542705
United Kingdom,2015,-4.665689378,-4.816234955
United Kingdom,2016,17.22191091,-17.08036464
United Kingdom,2017,7.103747744,9.381712054
United Kingdom,2018,-12.02913126,-5.559782209
United Kingdom,2019,12.00142086,3.304481983
United Kingdom,2020,-15.0414875,3.947441866
United Kingdom,2021,12.36476681,-0.9705332996
United Kingdom,2022,-0.7128390797,-10.68311094
United States,2014,12.38659397,...
United States,2015,-0.6928388934,...
United States,2016,11.23736946,...
United States,2017,18.41502748,...
United States,2018,-7.009394461,...
United States,2019,28.7147959,...
United States,2020,15.29290654,...
United States,2021,28.79305802,...
United States,2022,-19.95305066,...
